"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 15:34:13 GMT 2024","Sat Jun 08 15:34:13 GMT 2024","725","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Sat Jun 08 15:34:13 GMT 2024","Sat Jun 08 15:34:13 GMT 2024","16","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Sat Jun 08 15:34:13 GMT 2024","Sat Jun 08 15:34:14 GMT 2024","314","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Sat Jun 08 15:34:29 GMT 2024","Sat Jun 08 15:34:30 GMT 2024","688","tests","test_login","","","","test_failed_login",""
"passed","Sat Jun 08 15:34:23 GMT 2024","Sat Jun 08 15:34:26 GMT 2024","2647","tests","test_edit","","","","test_edit",""
"passed","Sat Jun 08 15:34:14 GMT 2024","Sat Jun 08 15:34:14 GMT 2024","301","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Sat Jun 08 15:34:21 GMT 2024","Sat Jun 08 15:34:22 GMT 2024","781","tests","test_edit","","","","test_autocomplete",""
"passed","Sat Jun 08 15:34:27 GMT 2024","Sat Jun 08 15:34:27 GMT 2024","44","tests","test_home","","","","test_successful_login",""
"passed","Sat Jun 08 15:34:28 GMT 2024","Sat Jun 08 15:34:28 GMT 2024","686","tests","test_login","","","","test_successful_login",""
